# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  110       3.973312353836e-10       1.205096984912e-13      -3.914072790407e-12       0.000000000000e+00       8.397048713953e-12       1.251235790680e-12      -6.522494953212e-15 
  111       4.016462517659e-10       1.221573366128e-13      -3.998439807458e-12       0.000000000000e+00       8.196051130612e-12       1.227659904156e-12      -6.489246088809e-15 
  112       4.059814088766e-10       1.237656587821e-13      -4.082110893137e-12       0.000000000000e+00       8.001529202293e-12       1.204755340080e-12      -6.465615199553e-15 
  113       4.103357461014e-10       1.253330051883e-13      -4.165022227510e-12       0.000000000000e+00       7.813123145684e-12       1.182473441068e-12      -6.447307714280e-15 
  114       4.147081638528e-10       1.268577293577e-13      -4.247110177861e-12       0.000000000000e+00       7.630409029917e-12       1.160757612650e-12      -6.429690325907e-15 
  115       4.190974192769e-10       1.283381992672e-13      -4.328311340485e-12       0.000000000000e+00       7.452896998771e-12       1.139543104805e-12      -6.407783271463e-15 
  116       4.235022971582e-10       1.297728268309e-13      -4.408561025405e-12       0.000000000000e+00       7.280138673311e-12       1.118771866116e-12      -6.377277445742e-15 
  117       4.279221553839e-10       1.311601580473e-13      -4.487788412130e-12       0.000000000000e+00       7.112067974807e-12       1.098439622169e-12      -6.337742538523e-15 
  118       4.323564380449e-10       1.324987959533e-13      -4.565920880678e-12       0.000000000000e+00       6.948698593893e-12       1.078554137393e-12      -6.289796264992e-15 
  119       4.368045034578e-10       1.337873745815e-13      -4.642885543694e-12       0.000000000000e+00       6.790017714244e-12       1.059120570316e-12      -6.234115759494e-15 
  120       4.412656214209e-10       1.350245603240e-13      -4.718609274479e-12       0.000000000000e+00       6.635985200117e-12       1.040141388367e-12      -6.171438916874e-15 
  121       4.457389704704e-10       1.362090532963e-13      -4.793018735025e-12       0.000000000000e+00       6.486532783897e-12       1.021616282674e-12      -6.102565733816e-15 
  122       4.502236351364e-10       1.373395887018e-13      -4.866040404046e-12       0.000000000000e+00       6.341563253640e-12       1.003542082865e-12      -6.028359650179e-15 
  123       4.547186031986e-10       1.384149381956e-13      -4.937600605011e-12       0.000000000000e+00       6.200949640614e-12       9.859126718684e-13      -5.949748890341e-15 
  124       4.592227629427e-10       1.394339112489e-13      -5.007625534175e-12       0.000000000000e+00       6.064534406848e-12       9.687189007139e-13      -5.867727804536e-15 
  125       4.637349004165e-10       1.403953565127e-13      -5.076041288610e-12       0.000000000000e+00       5.932128632669e-12       9.519485033303e-13      -5.783358210193e-15 
  126       4.682536966853e-10       1.412981631820e-13      -5.142773894243e-12       0.000000000000e+00       5.803511204254e-12       9.355860113470e-13      -5.697770733277e-15 
  127       4.727777250887e-10       1.421412623603e-13      -5.207749333880e-12       0.000000000000e+00       5.678428001164e-12       9.196126688941e-13      -5.612166149626e-15 
  128       4.773054484958e-10       1.429236284231e-13      -5.270893575243e-12       0.000000000000e+00       5.556591083897e-12       9.040063474023e-13      -5.527816726292e-15 
  129       4.818353823271e-10       1.436443250307e-13      -5.332133957981e-12       0.000000000000e+00       5.437740582747e-12       8.887466697223e-13      -5.445820964754e-15 
  130       4.863666096644e-10       1.443026459750e-13      -5.391403467187e-12       0.000000000000e+00       5.321839766232e-12       8.738311990013e-13      -5.366334562063e-15 
  131       4.908983177263e-10       1.448979924331e-13      -5.448636983846e-12       0.000000000000e+00       5.208899936157e-12       8.592608730029e-13      -5.289257227329e-15 
  132       4.954296356258e-10       1.454298313716e-13      -5.503770005269e-12       0.000000000000e+00       5.098919284293e-12       8.450349065297e-13      -5.214471298401e-15 
  133       4.999596328131e-10       1.458976972299e-13      -5.556738682847e-12       0.000000000000e+00       4.991882528588e-12       8.311507434994e-13      -5.141841318634e-15 
  134       5.044873175168e-10       1.463011936038e-13      -5.607479859806e-12       0.000000000000e+00       4.887760549383e-12       8.176040090202e-13      -5.071213613667e-15 
  135       5.090116351871e-10       1.466399949293e-13      -5.655931108969e-12       0.000000000000e+00       4.786510025620e-12       8.043884614678e-13      -5.002415868193e-15 
  136       5.135314669373e-10       1.469138481658e-13      -5.702030770506e-12       0.000000000000e+00       4.688073071052e-12       7.914959445608e-13      -4.935256702735e-15 
  137       5.180456279859e-10       1.471225744800e-13      -5.745717989696e-12       0.000000000000e+00       4.592376870458e-12       7.789163394372e-13      -4.869525250414e-15 
  138       5.225528660996e-10       1.472660709295e-13      -5.786932754679e-12       0.000000000000e+00       4.499333315853e-12       7.666375167300e-13      -4.804990733727e-15 
  139       5.270518600343e-10       1.473443121460e-13      -5.825615934216e-12       0.000000000000e+00       4.408838642700e-12       7.546452886440e-13      -4.741402041321e-15 
  140       5.315412179783e-10       1.473573520194e-13      -5.861709315444e-12       0.000000000000e+00       4.320773066120e-12       7.429233610313e-13      -4.678487304761e-15 
  141       5.360194759939e-10       1.473053253810e-13      -5.895155641632e-12       0.000000000000e+00       4.235000417104e-12       7.314532854673e-13      -4.615953475305e-15 
  142       5.404850964597e-10       1.471884496874e-13      -5.925898649939e-12       0.000000000000e+00       4.151367778725e-12       7.202144113274e-13      -4.553485900680e-15 
  143       5.449364665127e-10       1.470070267036e-13      -5.953883109169e-12       0.000000000000e+00       4.069705122350e-12       7.091838378626e-13      -4.490747901853e-15 
  144       5.493720273832e-10       1.467614545011e-13      -5.979055193667e-12       0.000000000000e+00       3.989860957928e-12       6.983413685914e-13      -4.427450581042e-15 
  145       5.537906800562e-10       1.464522612285e-13      -6.001363566839e-12       0.000000000000e+00       3.911814014003e-12       6.876850261359e-13      -4.363570895681e-15 
  146       5.581914168277e-10       1.460800778859e-13      -6.020758476725e-12       0.000000000000e+00       3.835571927567e-12       6.772169829604e-13      -4.299154379182e-15 
  147       5.625731932048e-10       1.456456300377e-13      -6.037191468784e-12       0.000000000000e+00       3.761136063210e-12       6.669386773961e-13      -4.234246820779e-15 
  148       5.669349270998e-10       1.451497395547e-13      -6.050615425589e-12       0.000000000000e+00       3.688501356314e-12       6.568507944667e-13      -4.168894245934e-15 
  149       5.712754980252e-10       1.445933263576e-13      -6.060984606510e-12       0.000000000000e+00       3.617656156237e-12       6.469532467128e-13      -4.103142896734e-15 
  150       5.755937462877e-10       1.439774101597e-13      -6.068254687407e-12       0.000000000000e+00       3.548582069505e-12       6.372451550174e-13      -4.037039212294e-15 
  151       5.798884721828e-10       1.433031122098e-13      -6.072382800312e-12       0.000000000000e+00       3.481253803000e-12       6.277248294305e-13      -3.970629809157e-15 
  152       5.841584351894e-10       1.425716570347e-13      -6.073327573124e-12       0.000000000000e+00       3.415639007148e-12       6.183897499946e-13      -3.903961461695e-15 
  153       5.884023531638e-10       1.417843741827e-13      -6.071049169295e-12       0.000000000000e+00       3.351698119112e-12       6.092365475694e-13      -3.837081082511e-15 
