# Matter power spectrum P(k) at redshift z=0
# for k=1.48588e-07 to 36.0195 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.321095698126e-01       1.824590350319e+03 
       2.353273242274e-01       1.791532870505e+03 
       2.385450802666e-01       1.762084451352e+03 
       2.417628378650e-01       1.735459732618e+03 
       2.449805969605e-01       1.710773339535e+03 
       2.481983574948e-01       1.687125076416e+03 
       2.514161194121e-01       1.663744374353e+03 
       2.546338826597e-01       1.639983273204e+03 
       2.578516471875e-01       1.615427376772e+03 
       2.610694129478e-01       1.589855090636e+03 
       2.642871798955e-01       1.563631017833e+03 
       2.675049479873e-01       1.536047546806e+03 
       2.707227171822e-01       1.507839828827e+03 
       2.739404874412e-01       1.479379213090e+03 
       2.771582587270e-01       1.451103139089e+03 
       2.803760310039e-01       1.423464961416e+03 
       2.835938042382e-01       1.396883673398e+03 
       2.868115783973e-01       1.371696345991e+03 
       2.900293534504e-01       1.348124687746e+03 
       2.932471293678e-01       1.326241917699e+03 
       2.964649061212e-01       1.306024131684e+03 
       2.996826836836e-01       1.287305099298e+03 
       3.029004620291e-01       1.269895218626e+03 
       3.061182411328e-01       1.253543311499e+03 
       3.093360209709e-01       1.237996219286e+03 
       3.125538015207e-01       1.222995454934e+03 
       3.157715827603e-01       1.208300573701e+03 
       3.189893646686e-01       1.193700496833e+03 
       3.222071472257e-01       1.179026423805e+03 
       3.254249304120e-01       1.164169079666e+03 
       3.286427142092e-01       1.149094050188e+03 
       3.318604985992e-01       1.133833121198e+03 
       3.350782835649e-01       1.118471922456e+03 
       3.382960690899e-01       1.103138960748e+03 
       3.415138551583e-01       1.087956472723e+03 
       3.447316417547e-01       1.073060141548e+03 
       3.479494288644e-01       1.058551687385e+03 
       3.511672164734e-01       1.044523628550e+03 
       3.543850045678e-01       1.031046145701e+03 
       3.576027931346e-01       1.018162036262e+03 
       3.608205821610e-01       1.005886821867e+03 
       3.640383716349e-01       9.942034192327e+02 
       3.672561615444e-01       9.830679279820e+02 
       3.704739518780e-01       9.723979759165e+02 
