# Matter power spectrum P(k) at redshift z=0
# for k=1.48588e-07 to 11.3904 h/Mpc,
# number of wavenumbers equal to 581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.579776685704e-02       1.322832882193e+04 
       4.608995262869e-02       1.315269495224e+04 
       4.638931605072e-02       1.307685367470e+04 
       4.669634026190e-02       1.300052932708e+04 
       4.701155558404e-02       1.292376983625e+04 
       4.733554565438e-02       1.284652045764e+04 
       4.766895455449e-02       1.276881550782e+04 
       4.801249512951e-02       1.269050862388e+04 
       4.836695873583e-02       1.261161628715e+04 
       4.873322670993e-02       1.253203200690e+04 
       4.911228392071e-02       1.245168242435e+04 
       4.950523485518e-02       1.237062218640e+04 
       4.991332279863e-02       1.228860422178e+04 
       5.033795281197e-02       1.220561173244e+04 
       5.078071938885e-02       1.212153461658e+04 
       5.124343990559e-02       1.203625142581e+04 
       5.172819526879e-02       1.194961531701e+04 
       5.223737953680e-02       1.186144977821e+04 
       5.277376075656e-02       1.177156702602e+04 
       5.334055583301e-02       1.167978349696e+04 
       5.394152293925e-02       1.158573495928e+04 
       5.458107576241e-02       1.148907742546e+04 
       5.526442468460e-02       1.138951009343e+04 
       5.599775061605e-02       1.128643818905e+04 
       5.678841716980e-02       1.117910612703e+04 
       5.764522523569e-02       1.106681560230e+04 
       5.857870888210e-02       1.094841797243e+04 
       5.960145934209e-02       1.082231460856e+04 
       6.072843844090e-02       1.068671175265e+04 
       6.197719460748e-02       1.053895362931e+04 
       6.336781212560e-02       1.037570920810e+04 
       6.492230383164e-02       1.019236149766e+04 
       6.666303224616e-02       9.983310268688e+03 
       6.860974071605e-02       9.741879147598e+03 
       7.077515554936e-02       9.461176186500e+03 
       7.316012320251e-02       9.135652388871e+03 
       7.575053287514e-02       8.763411583484e+03 
       7.851845916814e-02       8.348374643596e+03 
       8.142782485766e-02       7.900911182412e+03 
       8.444184318207e-02       7.436690040144e+03 
       8.752871081762e-02       6.973777647933e+03 
       9.066400615372e-02       6.529694493025e+03 
       9.383046784245e-02       6.118979026300e+03 
       9.701655803029e-02       5.751841960764e+03 
       1.002148401022e-01       5.433724054295e+03 
       1.034206303553e-01       5.165536339354e+03 
       1.066310211162e-01       4.944367447080e+03 
       1.098442231899e-01       4.764320587448e+03 
       1.130591414971e-01       4.617399792469e+03 
       1.162751078991e-01       4.494459270825e+03 
       1.194917154530e-01       4.386053139296e+03 
       1.227087164965e-01       4.283206722583e+03 
       1.259259603147e-01       4.178272670791e+03 
       1.291433551382e-01       4.065498903715e+03 
       1.323608450190e-01       3.941450935474e+03 
       1.355783957758e-01       3.805139439562e+03 
       1.387959864568e-01       3.657808942646e+03 
       1.420136041555e-01       3.502524876936e+03 
       1.452312408626e-01       3.343537315094e+03 
       1.484488915551e-01       3.185611928014e+03 
       1.485884101040e-01       3.178863028375e+03 
       1.516665530346e-01       3.033397407410e+03 
       1.548842232216e-01       2.890936109808e+03 
       1.581019007267e-01       2.761262758133e+03 
       1.613195845885e-01       2.646249277453e+03 
       1.645372741145e-01       2.546552269327e+03 
       1.677549687834e-01       2.461687732112e+03 
       1.709726681851e-01       2.390212750637e+03 
       1.741903719836e-01       2.329935718483e+03 
       1.774080798944e-01       2.278199730584e+03 
       1.806257916693e-01       2.232123044759e+03 
       1.838435070877e-01       2.189049552126e+03 
       1.870612259501e-01       2.146691172081e+03 
       1.902789480745e-01       2.102500157236e+03 
       1.934966732933e-01       2.054964154961e+03 
       1.967144014510e-01       2.003299753728e+03 
       1.999321324035e-01       1.947510650631e+03 
       2.031498660160e-01       1.888276996163e+03 
       2.063676021626e-01       1.826812540859e+03 
       2.095853407254e-01       1.764591583189e+03 
       2.128030815939e-01       1.703148212496e+03 
       2.160208246641e-01       1.643895077864e+03 
       2.192385698383e-01       1.587958270468e+03 
       2.224563170246e-01       1.536157967582e+03 
       2.256740661361e-01       1.489006528270e+03 
       2.288918170912e-01       1.446699007102e+03 
       2.321095698126e-01       1.409125303005e+03 
       2.353273242274e-01       1.375911148105e+03 
       2.385450802666e-01       1.346426812262e+03 
       2.417628378650e-01       1.319865509356e+03 
       2.449805969605e-01       1.295319865341e+03 
       2.481983574948e-01       1.271868616563e+03 
       2.514161194121e-01       1.248723560959e+03 
       2.546338826597e-01       1.225222245516e+03 
       2.578516471875e-01       1.200940743743e+03 
       2.610694129478e-01       1.175651964832e+03 
       2.642871798955e-01       1.149324955095e+03 
       2.675049479873e-01       1.122104407554e+03 
       2.707227171822e-01       1.094262950114e+03 
       2.739404874412e-01       1.066178673318e+03 
       2.771582587270e-01       1.038296389569e+03 
       2.803760310039e-01       1.011076524743e+03 
       2.835938042382e-01       9.849440185695e+02 
       2.868115783973e-01       9.602401058364e+02 
       2.900293534504e-01       9.371885410094e+02 
       2.932471293678e-01       9.158622149550e+02 
       2.964649061212e-01       8.962354863201e+02 
       2.996826836836e-01       8.781385192837e+02 
       3.029004620291e-01       8.613780146995e+02 
       3.061182411328e-01       8.456985187701e+02 
       3.093360209709e-01       8.308428400934e+02 
       3.125538015207e-01       8.165486421539e+02 
       3.157715827603e-01       8.025720974144e+02 
       3.189893646686e-01       7.886993241500e+02 
       3.222071472257e-01       7.747594231784e+02 
       3.254249304120e-01       7.606418862811e+02 
       3.286427142092e-01       7.463120432061e+02 
       3.318604985992e-01       7.318022135023e+02 
       3.350782835649e-01       7.171991251884e+02 
       3.382960690899e-01       7.026327481179e+02 
       3.415138551583e-01       6.882265709793e+02 
       3.447316417547e-01       6.741175131812e+02 
       3.479494288644e-01       6.604080345321e+02 
       3.511672164734e-01       6.471911767357e+02 
       3.543850045678e-01       6.345373257817e+02 
       3.576027931346e-01       6.224891608316e+02 
       3.608205821610e-01       6.110618083171e+02 
       3.640383716349e-01       6.002375132458e+02 
       3.672561615444e-01       5.899715198130e+02 
       3.704739518780e-01       5.801803637308e+02 
       3.736917426249e-01       5.707715121004e+02 
       3.769095337743e-01       5.616475937912e+02 
       3.801273253160e-01       5.527246183027e+02 
       3.833451172401e-01       5.439350795663e+02 
       3.865629095371e-01       5.352310504816e+02 
       3.897807021975e-01       5.265859654022e+02 
       3.929984952125e-01       5.179905150701e+02 
       3.962162885733e-01       5.094380760853e+02 
       3.994340822717e-01       5.009373956467e+02 
       4.026518762994e-01       4.925061170147e+02 
       4.058696706487e-01       4.841741064597e+02 
       4.090874653118e-01       4.759840818921e+02 
       4.123052602814e-01       4.679672914092e+02 
       4.155230555504e-01       4.601641294083e+02 
       4.187408511118e-01       4.525929714097e+02 
       4.219586469590e-01       4.452656799419e+02 
       4.251764430853e-01       4.381796068510e+02 
       4.283942394846e-01       4.313260563636e+02 
       4.316120361506e-01       4.246927960028e+02 
       4.348298330774e-01       4.182672047015e+02 
       4.380476302593e-01       4.120335131561e+02 
       4.412654276906e-01       4.059779817443e+02 
       4.444832253659e-01       4.000752476384e+02 
       4.477010232800e-01       3.943001444503e+02 
       4.509188214277e-01       3.886273524136e+02 
       4.541366198040e-01       3.830348199345e+02 
       4.573544184041e-01       3.775111517344e+02 
       4.605722172233e-01       3.720509116337e+02 
       4.637900162569e-01       3.666558322879e+02 
       4.670078155006e-01       3.613279105243e+02 
       4.702256149501e-01       3.560746771188e+02 
       4.734434146010e-01       3.509018846715e+02 
       4.766612144494e-01       3.458139874968e+02 
       4.798790144912e-01       3.408182512728e+02 
       4.830968147225e-01       3.359224008497e+02 
       4.863146151397e-01       3.311366008222e+02 
       4.895324157389e-01       3.264657537065e+02 
       4.927502165167e-01       3.219220809595e+02 
       4.959680174695e-01       3.174989899913e+02 
       4.991858185939e-01       3.131903185564e+02 
       5.024036198867e-01       3.089883872608e+02 
       5.056214213446e-01       3.048783118194e+02 
       5.088392229645e-01       3.008511532578e+02 
       5.120570247432e-01       2.969005646164e+02 
       5.152748266779e-01       2.930203353483e+02 
       5.184926287656e-01       2.892059000395e+02 
       5.217104310035e-01       2.854522652246e+02 
       5.249282333888e-01       2.817533610642e+02 
       5.281460359187e-01       2.781050207228e+02 
       5.313638385907e-01       2.745047000557e+02 
       5.345816414022e-01       2.709534804166e+02 
       5.377994443507e-01       2.674551302391e+02 
       5.410172474337e-01       2.640146959061e+02 
       5.442350506489e-01       2.606366749646e+02 
       5.474528539938e-01       2.573233614685e+02 
       5.506706574662e-01       2.540740041520e+02 
       5.538884610640e-01       2.508865628802e+02 
