# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  159       6.170779292765e-10       1.351244277732e-13      -5.966962091213e-12       0.000000000000e+00 
  160       6.211008126460e-10       1.339624614921e-13      -5.938521482004e-12       0.000000000000e+00 
  161       6.250847625440e-10       1.327606324184e-13      -5.906548941311e-12       0.000000000000e+00 
  162       6.290286480954e-10       1.315211440670e-13      -5.871020521161e-12       0.000000000000e+00 
  163       6.329314340864e-10       1.302462594429e-13      -5.831914093268e-12       0.000000000000e+00 
  164       6.367920695065e-10       1.289383531891e-13      -5.789209521510e-12       0.000000000000e+00 
  165       6.406094872688e-10       1.275999131268e-13      -5.742888701847e-12       0.000000000000e+00 
  166       6.443826039304e-10       1.262335417949e-13      -5.692935602238e-12       0.000000000000e+00 
  167       6.481103194125e-10       1.248419579894e-13      -5.639336302558e-12       0.000000000000e+00 
  168       6.517915167210e-10       1.234279983036e-13      -5.582079034512e-12       0.000000000000e+00 
  169       6.554250616661e-10       1.219946186673e-13      -5.521154221555e-12       0.000000000000e+00 
  170       6.590098025831e-10       1.205448958871e-13      -5.456554518808e-12       0.000000000000e+00 
  171       6.625445700526e-10       1.190820291852e-13      -5.388274852973e-12       0.000000000000e+00 
  172       6.660281766204e-10       1.176093417398e-13      -5.316312462252e-12       0.000000000000e+00 
  173       6.694594165182e-10       1.161302822248e-13      -5.240666936262e-12       0.000000000000e+00 
  174       6.728370653836e-10       1.146484263488e-13      -5.161340255951e-12       0.000000000000e+00 
  175       6.761598799804e-10       1.131674783956e-13      -5.078336833520e-12       0.000000000000e+00 
  176       6.794265979187e-10       1.116912727633e-13      -4.991663552333e-12       0.000000000000e+00 
  177       6.826359373755e-10       1.102237755043e-13      -4.901329806837e-12       0.000000000000e+00 
  178       6.857865968147e-10       1.087690858648e-13      -4.807347542480e-12       0.000000000000e+00 
  179       6.888772547073e-10       1.073314378248e-13      -4.709731295623e-12       0.000000000000e+00 
  180       6.919066564197e-10       1.059150492168e-13      -4.608496802788e-12       0.000000000000e+00 
  181       6.948738831849e-10       1.045236524563e-13      -4.503656621369e-12       0.000000000000e+00 
  182       6.977781040237e-10       1.031609293798e-13      -4.395224236658e-12       0.000000000000e+00 
  183       7.006184905394e-10       1.018306612848e-13      -4.283215495640e-12       0.000000000000e+00 
  184       7.033942169590e-10       1.005367299080e-13      -4.167648641641e-12       0.000000000000e+00 
  185       7.061044601746e-10       9.928311840350e-14      -4.048544348971e-12       0.000000000000e+00 
  186       7.087483997846e-10       9.807391232120e-14      -3.925925757576e-12       0.000000000000e+00 
  187       7.113252181351e-10       9.691330058503e-14      -3.799818507681e-12       0.000000000000e+00 
  188       7.138341003612e-10       9.580557647124e-14      -3.670250774442e-12       0.000000000000e+00 
  189       7.162742344283e-10       9.475513858665e-14      -3.537253302587e-12       0.000000000000e+00 
  190       7.186448111735e-10       9.376649184701e-14      -3.400859441070e-12       0.000000000000e+00 
  191       7.209450243467e-10       9.284424845520e-14      -3.261105177713e-12       0.000000000000e+00 
  192       7.231740706521e-10       9.199312887957e-14      -3.118029173857e-12       0.000000000000e+00 
  193       7.253311497895e-10       9.121796283221e-14      -2.971672799005e-12       0.000000000000e+00 
  194       7.274154644954e-10       9.052369024722e-14      -2.822080165474e-12       0.000000000000e+00 
  195       7.294262205847e-10       8.991536225901e-14      -2.669298163038e-12       0.000000000000e+00 
  196       7.313626269917e-10       8.939814218056e-14      -2.513376493578e-12       0.000000000000e+00 
  197       7.332238958114e-10       8.897730648174e-14      -2.354367705729e-12       0.000000000000e+00 
  198       7.350092423412e-10       8.865824576756e-14      -2.192327229524e-12       0.000000000000e+00 
  199       7.367178851215e-10       8.844646575648e-14      -2.027313411046e-12       0.000000000000e+00 
  200       7.383490459779e-10       8.834758825867e-14      -1.859387547072e-12       0.000000000000e+00 
  201       7.399020075364e-10       8.836708176121e-14      -1.688610761244e-12       0.000000000000e+00 
  202       7.413762902635e-10       8.850942970329e-14      -1.515034311856e-12       0.000000000000e+00 
  203       7.427714881671e-10       8.877890460744e-14      -1.338708657753e-12       0.000000000000e+00 
  204       7.440872126682e-10       8.917983331073e-14      -1.159686579729e-12       0.000000000000e+00 
  205       7.453230928118e-10       8.971659714393e-14      -9.780232058455e-13       0.000000000000e+00 
  206       7.464787754786e-10       9.039363211063e-14      -7.937760367362e-13       0.000000000000e+00 
  207       7.475539255957e-10       9.121542906638e-14      -6.070049709247e-13       0.000000000000e+00 
  208       7.485482263481e-10       9.218653389780e-14      -4.177723301350e-13       0.000000000000e+00 
  209       7.494613793899e-10       9.331154770173e-14      -2.261428846035e-13       0.000000000000e+00 
  210       7.502931050552e-10       9.459512696436e-14      -3.218387839182e-14       0.000000000000e+00 
  211       7.510431425693e-10       9.604198374037e-14       1.640349453011e-13       0.000000000000e+00 
  212       7.517112502603e-10       9.765688583202e-14       3.624413188270e-13       0.000000000000e+00 
  213       7.522972057699e-10       9.944465696834e-14       5.629604247755e-13       0.000000000000e+00 
  214       7.528008062645e-10       1.014101769842e-13       7.655148706623e-13       0.000000000000e+00 
  215       7.532218686469e-10       1.035583819996e-13       9.700246636165e-13       0.000000000000e+00 
  216       7.535602297667e-10       1.058942645984e-13       1.176407185069e-12       0.000000000000e+00 
  217       7.538157466322e-10       1.084228740080e-13       1.384577165439e-12       0.000000000000e+00 
  218       7.539882966214e-10       1.111493162781e-13       1.594446658823e-12       0.000000000000e+00 
  219       7.540777776927e-10       1.140787544599e-13       1.805925017683e-12       0.000000000000e+00 
  220       7.540841085968e-10       1.172164087854e-13       2.018918867530e-12       0.000000000000e+00 
  221       7.540072290873e-10       1.205675568461e-13       2.233332081620e-12       0.000000000000e+00 
  222       7.538471001323e-10       1.241375337728e-13       2.449065755631e-12       0.000000000000e+00 
