# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:phi_scf               18:phi'_scf              19:V_scf                 20:V'_scf                21:V''_scf            
       1.142443245753e+08       5.791117172244e-14       4.056973157276e-03       2.816019429939e+10       1.434210219946e+04       1.255388582955e-04       1.638503793109e+12       2.342291445984e-03       4.687244679480e+20       3.350902327633e+15       1.990873907924e+16       1.078557172975e+20       2.163930980925e+20       7.929965429794e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.392520735950e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.134501733143e+08       5.872476180268e-14       4.085371763722e-03       2.777005565827e+10       1.434210217106e+04       1.264176300984e-04       1.627113991341e+12       2.358687345027e-03       4.558266806871e+20       3.281507166440e+15       1.949644113008e+16       1.048878754379e+20       2.104386571900e+20       7.711759912633e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.464265553912e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.126615424693e+08       5.954978192584e-14       4.113969158425e-03       2.738532211869e+10       1.434210214247e+04       1.273025533010e-04       1.615803363964e+12       2.375198013363e-03       4.432837989741e+20       3.213549137054e+15       1.909268162201e+16       1.020016990237e+20       2.046480633156e+20       7.499558675442e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.537527543850e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.118783936658e+08       6.038639267083e-14       4.142766731093e-03       2.700591879656e+10       1.434210211367e+04       1.281936709631e-04       1.604571360611e+12       2.391824254349e-03       4.310860569520e+20       3.146998477345e+15       1.869728372910e+16       9.919494088507e+19       1.990168079271e+20       7.293196500463e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.612338790130e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.111006887965e+08       6.123475687247e-14       4.171765884166e-03       2.663177184527e+10       1.434210208467e+04       1.290910264458e-04       1.593417434739e+12       2.408566876965e-03       4.192239574887e+20       3.081826041539e+15       1.831007428735e+16       9.646541568690e+19       1.935405065426e+20       7.092512716185e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.688732055601e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.103283900186e+08       6.209503965323e-14       4.200968027362e-03       2.626280844130e+10       1.434210205547e+04       1.299946634140e-04       1.582341043604e+12       2.425426695854e-03       4.076882647825e+20       3.018003287452e+15       1.793088371890e+16       9.381099822754e+19       1.882148953274e+20       6.897351072245e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.766740795952e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.095614597526e+08       6.296740845532e-14       4.230374583130e-03       2.589895677006e+10       1.434210202606e+04       1.309046258378e-04       1.571341648238e+12       2.442404531361e-03       3.964699971713e+20       2.955502263992e+15       1.755954595773e+16       9.122962178406e+19       1.830358277736e+20       6.707559617772e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.846399174354e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.087998606800e+08       6.385203307333e-14       4.259986981197e-03       2.554014601188e+10       1.434210199645e+04       1.318209579956e-04       1.560418713415e+12       2.459501209572e-03       3.855604201392e+20       2.894295598920e+15       1.719589837696e+16       8.871927650305e+19       1.779992714718e+20       6.522990583080e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       3.927742076426e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.080435557421e+08       6.474908568724e-14       4.289806664019e-03       2.518630632828e+10       1.434210196663e+04       1.327437044753e-04       1.549571707632e+12       2.476717562355e-03       3.749510395162e+20       2.834356486855e+15       1.683978171761e+16       8.627800783580e+19       1.731013049716e+20       6.343500264618e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       4.010805125512e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.072925081374e+08       6.565874089594e-14       4.319835079514e-03       2.483736884833e+10       1.434210193660e+04       1.336729101772e-04       1.538800103082e+12       2.494054427403e-03       3.646335948645e+20       2.775658677542e+15       1.649104001884e+16       8.390391501650e+19       1.683381147282e+20       6.168948913078e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       4.095624698282e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.065466813204e+08       6.658117575124e-14       4.350073691967e-03       2.449326565526e+10       1.434210190636e+04       1.346086203157e-04       1.528103375623e+12       2.511512648270e-03       3.546000530468e+20       2.718176464352e+15       1.614952054969e+16       8.159514958225e+19       1.637059921332e+20       5.999200624593e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       4.182237940663e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.058060389996e+08       6.751656979229e-14       4.380523971122e-03       2.415392977326e+10       1.434210187591e+04       1.355508804220e-04       1.517481004761e+12       2.529093074415e-03       3.448426019719e+20       2.661884673025e+15       1.581507374216e+16       7.934991393393e+19       1.592013306275e+20       5.834123234917e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       4.270682784104e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
       1.050705451359e+08       6.846510508053e-14       4.411187399455e-03       2.381929515441e+10       1.434210184525e+04       1.364997363457e-04       1.506932473617e+12       2.546796561244e-03       3.353536445122e+20       2.606758650645e+15       1.548755312570e+16       7.716645993655e+19       1.548206228924e+20       5.673588216530e+20       3.131182639081e-08      -3.131182639081e-08       1.000000000000e-04       4.360997962192e-28       9.393547917244e-08      -1.146012845904e-07       1.398135672003e-07 
