#scalar perturbations for mode k = 1.000000000000e-07 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf          
       2.484072561068e+02       7.785418134518e-04      -1.583488926502e-10      -2.307457205503e-23       5.784673411645e-13       1.295552780618e-12       7.370276223378e-20       2.591105561237e-13      -1.187616694877e-10      -2.255770146704e-23       6.008803245596e-01       6.458483022752e-01      -1.583488926478e-10      -5.395001101129e-23       2.302957960004e-11      -1.187616694892e-10      -5.526358746945e-43      -3.281803768250e-23      -9.303968926285e-24 
       2.487420701173e+02       7.799185820026e-04      -1.587361195398e-10      -2.315251813452e-23       5.896399140119e-13       1.302573845531e-12       7.434229160478e-20       2.605147691062e-13      -1.190520896549e-10      -2.262754232513e-23       6.008592520556e-01       6.458114408882e-01      -1.587361195374e-10      -5.415992321619e-23       2.308950248862e-11      -1.190520896565e-10      -5.607670481700e-43      -3.226104311793e-23      -9.337409904150e-24 
       2.490768841277e+02       7.812962319771e-04      -1.591237451625e-10      -2.323075057103e-23       6.005708287468e-13       1.310360354726e-12       7.507411618285e-20       2.620720709453e-13      -1.193428088719e-10      -2.269725598528e-23       6.008390398293e-01       6.457746548096e-01      -1.591237451601e-10      -5.437036042637e-23       2.314949910996e-11      -1.193428088735e-10      -5.690087322529e-43      -3.169518167950e-23      -9.370936270098e-24 
       2.495347140598e+02       7.831814788622e-04      -1.596544356394e-10      -2.333815025954e-23       6.152128326794e-13       1.322106662539e-12       7.621748112318e-20       2.644213325077e-13      -1.197408267295e-10      -2.279245422705e-23       6.008125414703e-01       6.457244685375e-01      -1.596544356369e-10      -5.465896643308e-23       2.323165874952e-11      -1.197408267311e-10      -5.804598918859e-43      -3.090690581683e-23      -9.416887355266e-24 
       2.499925439918e+02       7.850683738559e-04      -1.601858710120e-10      -2.344600833336e-23       6.295948857979e-13       1.334972810272e-12       7.751779726667e-20       2.669945620543e-13      -1.201394032590e-10      -2.288756158097e-23       6.007870950875e-01       6.456744137224e-01      -1.601858710095e-10      -5.494855675539e-23       2.331395619357e-11      -1.201394032606e-10      -5.921237663573e-43      -3.010166722893e-23      -9.462956654989e-24 
       2.504503739239e+02       7.869569169581e-04      -1.607180508697e-10      -2.355430280050e-23       6.438029117342e-13       1.348820780446e-12       7.896735772075e-20       2.697641560893e-13      -1.205385381523e-10      -2.298262009151e-23       6.007624588960e-01       6.456244908849e-01      -1.607180508673e-10      -5.523913288777e-23       2.339639140148e-11      -1.205385381539e-10      -6.040039352054e-43      -2.927924606388e-23      -9.509168625603e-24 
       2.509082038560e+02       7.888471081690e-04      -1.612509747825e-10      -2.366302018376e-23       6.579091396938e-13       1.363535578707e-12       8.055940920611e-20       2.727071157415e-13      -1.209382310869e-10      -2.307765590518e-23       6.007384263023e-01       6.455746941229e-01      -1.612509747800e-10      -5.553069629820e-23       2.347896432934e-11      -1.209382310885e-10      -6.161040284304e-43      -2.843942292813e-23      -9.555496285185e-24 
       2.513660337881e+02       7.907389474885e-04      -1.617846423259e-10      -2.377215377925e-23       6.719743061722e-13       1.379021564366e-12       8.228811272847e-20       2.758043128731e-13      -1.213384817444e-10      -2.317268246906e-23       6.007148297789e-01       6.455250230116e-01      -1.617846423234e-10      -5.582324845870e-23       2.356167493447e-11      -1.213384817461e-10      -6.284277309768e-43      -2.758197688475e-23      -9.601963960527e-24 
       2.518238637201e+02       7.926324349166e-04      -1.623190530847e-10      -2.388170175550e-23       6.860494746973e-13       1.395199403400e-12       8.414849191292e-20       2.790398806801e-13      -1.217392898135e-10      -2.326770416852e-23       6.006915318041e-01       6.454754787123e-01      -1.623190530822e-10      -5.611679085192e-23       2.364452317604e-11      -1.217392898152e-10      -6.409787846816e-43      -2.670668386030e-23      -9.648559406635e-24 
       2.525925705638e+02       7.958153499813e-04      -1.632180112783e-10      -2.406656846529e-23       7.098219197494e-13       1.423739096406e-12       8.755702906755e-20       2.847478192812e-13      -1.224135084588e-10      -2.342723834699e-23       6.006527630692e-01       6.453925670233e-01      -1.632180112758e-10      -5.661188637993e-23       2.378393669593e-11      -1.224135084604e-10      -6.625741210225e-43      -2.519628195078e-23      -9.727099766986e-24 
