# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   79       2.767931315686e-10       6.018915390824e-14      -1.336896453207e-12       2.655984963487e-16       1.964216347159e-11       2.509341436444e-12      -1.015843355312e-14 
   80       2.802489366966e-10       6.215694098494e-14      -1.409166443415e-12       2.723952108563e-16       1.904355592148e-11       2.444386461927e-12      -1.038333622209e-14 
   81       2.837359058718e-10       6.414109568653e-14      -1.482643516832e-12       2.792802542730e-16       1.846941215337e-11       2.382128046481e-12      -1.060116572760e-14 
   82       2.872537197646e-10       6.613923397086e-14      -1.557258535100e-12       2.862536038943e-16       1.791808953148e-11       2.322320640169e-12      -1.079762303288e-14 
   83       2.908016920733e-10       6.814883394853e-14      -1.632938307350e-12       2.933152247442e-16       1.738748826770e-11       2.264661212753e-12      -1.095706400328e-14 
   84       2.943791363541e-10       7.016748504894e-14      -1.709613941124e-12       3.004650845105e-16       1.687556178704e-11       2.208860696816e-12      -1.106574593396e-14 
   85       2.979865750390e-10       7.219368910781e-14      -1.787247617604e-12       3.077032020800e-16       1.638198390514e-11       2.154876710332e-12      -1.112227323265e-14 
   86       3.016246994257e-10       7.422618757032e-14      -1.865810165452e-12       3.150296063448e-16       1.590672678493e-11       2.102715588866e-12      -1.112881804447e-14 
   87       3.052939920024e-10       7.626372275010e-14      -1.945273124356e-12       3.224443214333e-16       1.544954866241e-11       2.052361255179e-12      -1.108800261623e-14 
   88       3.089947152624e-10       7.830503926585e-14      -2.025608826212e-12       3.299473665640e-16       1.500998497797e-11       2.003774272218e-12      -1.100291449002e-14 
   89       3.127269005203e-10       8.034888547794e-14      -2.106790476313e-12       3.375387558981e-16       1.458733950777e-11       1.956890896101e-12      -1.087712169668e-14 
