#scalar perturbations for mode k = 1.105063066833e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:delta_scf             22:theta_scf          
       6.889590956689e+00       1.504971629833e-05      -1.912811705082e-03      -1.332226842502e-07       4.960131397497e-08       1.240032849374e-07       1.520243855280e-13       2.480065698748e-08      -1.434608778829e-03      -1.332226066247e-07       6.012130031119e-01       6.969192832368e-01      -1.912773373689e-03      -1.994653812196e-07       2.316310883994e-04      -1.434666658063e-03      -4.932990009965e-32      -1.914744164702e-03      -1.996710037024e-07       2.318695047316e-04      -3.788958036879e-22                     -inf 
       6.957797867371e+00       1.520055913061e-05      -1.950668057504e-03      -1.371961875737e-07       5.109904342897e-08       1.277476085724e-07       1.597700405865e-13       2.554952171449e-08      -1.463001043151e-03      -1.371960962595e-07       6.012114961276e-01       6.968898804139e-01      -1.950623611317e-03      -2.054360972545e-07       2.362280058116e-04      -1.463068144157e-03      -7.418580772171e-32      -1.952633367838e-03      -2.056478618498e-07       2.364711448087e-04      -4.308567356473e-22                     -inf 
       7.063053433051e+00       1.543340803078e-05      -2.009807846117e-03      -1.434808586252e-07       5.346934744274e-08       1.336733686069e-07       1.723423495610e-13       2.673467372137e-08      -1.507355884621e-03      -1.434807447216e-07       6.012091591631e-01       6.968445919110e-01      -2.009753602433e-03      -2.148813040774e-07       2.434102298841e-04      -1.507437755391e-03      -1.276191416956e-31      -2.011824216180e-03      -2.151027830864e-07       2.436607453612e-04      -5.105555521948e-22                     -inf 
       7.168308998731e+00       1.566634334100e-05      -2.069821764866e-03      -1.499533989787e-07       5.591228869627e-08       1.397807217407e-07       1.856974753710e-13       2.795614434814e-08      -1.552366323697e-03      -1.499532606282e-07       6.012068043446e-01       6.967993955505e-01      -2.069757273378e-03      -2.246109258304e-07       2.506996532149e-04      -1.552463635588e-03      -2.030636594293e-31      -2.071889635642e-03      -2.248424104923e-07       2.509576538274e-04      -5.898084428401e-22                     -inf 
       7.273564564411e+00       1.589936506129e-05      -2.130709374551e-03      -1.566165100061e-07       5.842898994873e-08       1.460724748718e-07       1.998717385771e-13       2.921449497436e-08      -1.598032030976e-03      -1.566163452595e-07       6.012044297484e-01       6.967542818575e-01      -2.130634171295e-03      -2.346291469412e-07       2.580962502241e-04      -1.598145475263e-03      -3.049979497166e-31      -2.132829175645e-03      -2.348709330370e-07       2.583618449107e-04      -6.687775351904e-22                     -inf 
       7.378820130091e+00       1.613247319165e-05      -2.192470236868e-03      -1.634728901169e-07       6.102057503246e-08       1.525514375811e-07       2.149025897447e-13       3.051028751623e-08      -1.644352677733e-03      -1.634726969302e-07       6.012020338017e-01       6.967092423397e-01      -2.192383844020e-03      -2.449401500629e-07       2.655999952110e-04      -1.644482965889e-03      -4.382147458910e-31      -2.194642385356e-03      -2.451925378253e-07       2.658732930798e-04      -7.476239963239e-22                     -inf 
       7.484075695772e+00       1.636566773211e-05      -2.255103914475e-03      -1.705252347565e-07       6.368816880072e-08       1.592204220018e-07       2.308286279412e-13       3.184408440036e-08      -1.691327935960e-03      -1.705250109880e-07       6.011996154157e-01       6.966642695938e-01      -2.255005840140e-03      -2.555481160675e-07       2.732108623915e-04      -1.691475799944e-03      -6.078413744604e-31      -2.257328813103e-03      -2.558114100085e-07       2.734919725256e-04      -8.265084475476e-22                     -inf 
       7.589331261452e+00       1.659894868268e-05      -2.318609970906e-03      -1.777762364058e-07       6.643289715589e-08       1.660822428897e-07       2.476896195628e-13       3.321644857795e-08      -1.738957478308e-03      -1.777759798136e-07       6.011971737795e-01       6.966193570246e-01      -2.318499708913e-03      -2.664572240408e-07       2.809288258955e-04      -1.739123670847e-03      -8.193610830756e-31      -2.320888006891e-03      -2.667317328370e-07       2.812178572335e-04      -9.055913603832e-22                     -inf 
       7.694586827132e+00       1.683231604338e-05      -2.382987970402e-03      -1.852285845862e-07       6.925588710543e-08       1.731397177636e-07       2.655265173461e-13       3.462794355271e-08      -1.787240977959e-03      -1.852282928248e-07       6.011947081004e-01       6.965744985037e-01      -2.382865000090e-03      -2.776716512853e-07       2.887538597406e-04      -1.787426272830e-03      -1.078635226989e-30      -2.385319515178e-03      -2.779576877645e-07       2.890509210697e-04      -9.850334311091e-22                     -inf 
       7.850011423797e+00       1.717707366868e-05      -2.479644583000e-03      -1.966068864178e-07       7.356992395792e-08       1.839248098948e-07       2.937393386039e-13       3.678496197896e-08      -1.859733437458e-03      -1.966065382095e-07       6.011910209883e-01       6.965083447928e-01      -2.479501863826e-03      -2.947984653846e-07       3.005043475370e-04      -1.859948399773e-03      -1.562189233311e-30      -2.482055788847e-03      -2.951021052112e-07       3.008134651901e-04      -1.103339458810e-21                     -inf 
