# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_scf            15:(.)p_scf              16:(.)p_prime_scf        17:phi_scf               18:phi'_scf              19:V_scf                 20:V'_scf                21:V''_scf               22:(.)rho_tot            23:(.)p_tot              24:(.)p_tot_prime        25:gr.fac. D             26:gr.fac. f          
       1.760405973290e+02       6.936310154330e-03       9.552511790853e+02       3.030434416743e-01       1.319792200968e+04       7.454743267245e+01       2.336567996095e+06       3.789168397037e+02       2.703152434015e-03       1.349998823781e-02       7.376219063490e-02       1.869956757679e-03       9.183532754180e-02       3.947739685057e-08      -3.947739542022e-08       1.484355865327e-17       1.000435366335e-04       2.294678878301e-10       1.184321884062e-07      -1.450439011410e-07       1.776352657274e-07       9.183532754180e-02       1.524330253169e-03      -1.043715975891e-05       7.527074063437e-03       9.662646648734e-01 
       1.748078956547e+02       7.011912989336e-03       9.593406395747e+02       2.998319104848e-01       1.319383254919e+04       7.504687147328e+01       2.319579936093e+06       3.799991691237e+02       2.628648850298e-03       1.321995322066e-02       7.223211550031e-02       1.818417496301e-03       8.989917454496e-02       3.947739682026e-08      -3.947739535898e-08       1.510808441624e-17       1.000444833861e-04       2.335624006330e-10       1.184321882689e-07      -1.450439009729e-07       1.776352655215e-07       8.989917454496e-02       1.482315971471e-03      -1.011234369413e-05       7.578070736330e-03       9.664914447618e-01 
       1.735837763593e+02       7.088325614378e-03       9.634451235424e+02       2.966547525080e-01       1.318972806522e+04       7.554956331150e+01       2.302712534778e+06       3.810824790453e+02       2.556198673966e-03       1.294572691290e-02       7.073377840303e-02       1.768298718268e-03       8.800404218556e-02       3.947739678930e-08      -3.947739529641e-08       1.537730466698e-17       1.000454505715e-04       2.377296396679e-10       1.184321881286e-07      -1.450439008011e-07       1.776352653111e-07       8.800404218556e-02       1.441459653349e-03      -9.797647336731e-06       7.629424996293e-03       9.667167550001e-01 
       1.723681796994e+02       7.165556615023e-03       9.675646814600e+02       2.935115941899e-01       1.318560850730e+04       7.605552835684e+01       2.285964945140e+06       3.821667647373e+02       2.485745312046e-03       1.267718882987e-02       6.926652103028e-02       1.719561274326e-03       8.614905592392e-02       3.947739675767e-08      -3.947739523250e-08       1.565130248960e-17       1.000464386283e-04       2.419708927484e-10       1.184321879853e-07      -1.450439006255e-07       1.776352650961e-07       8.614905592392e-02       1.401729384729e-03      -9.492754993921e-06       7.681139350938e-03       9.669406043638e-01 
       1.711610463473e+02       7.243614667467e-03       9.716993639800e+02       2.904020661292e-01       1.318147382478e+04       7.656478689257e+01       2.269336326074e+06       3.832520214796e+02       2.417233731256e-03       1.241422098584e-02       6.782969872346e-02       1.672167094158e-03       8.433336001211e-02       3.947739672536e-08      -3.947739516722e-08       1.593016243613e-17       1.000474480042e-04       2.462874704484e-10       1.184321878389e-07      -1.450439004462e-07       1.776352648765e-07       8.433336001211e-02       1.363094131076e-03      -9.197360836459e-06       7.733216325461e-03       9.671630015858e-01 
       1.699623173881e+02       7.322508539498e-03       9.758492219355e+02       2.873258030290e-01       1.317732396683e+04       7.707735931602e+01       2.252825842343e+06       3.843382445638e+02       2.350610415013e-03       1.215670784229e-02       6.642268019492e-02       1.626079156659e-03       8.255611708628e-02       3.947739669234e-08      -3.947739510052e-08       1.621397055243e-17       1.000484791567e-04       2.506807065042e-10       1.184321876893e-07      -1.450439002631e-07       1.776352646522e-07       8.255611708628e-02       1.325523713162e-03      -8.911168589912e-06       7.785658462765e-03       9.673839553570e-01 
       1.687719343172e+02       7.402247091452e-03       9.800143063418e+02       2.842824436504e-01       1.317315888242e+04       7.759326613907e+01       2.236432664536e+06       3.854254292926e+02       2.285823321638e-03       1.190453625708e-02       6.504484725069e-02       1.581261461016e-03       8.081650776782e-02       3.947739665862e-08      -3.947739503239e-08       1.650281440458e-17       1.000495325529e-04       2.551519582233e-10       1.184321875365e-07      -1.450439000760e-07       1.776352644230e-07       8.081650776782e-02       1.288988783490e-03      -8.633891235598e-06       7.838468323580e-03       9.676034743258e-01 
       1.675898390368e+02       7.482839277195e-03       9.841946683964e+02       2.812716307653e-01       1.316897852036e+04       7.811252798867e+01       2.220155969027e+06       3.865135709805e+02       2.222821843711e-03       1.165759543479e-02       6.369559451888e-02       1.537678998587e-03       7.911373027337e-02       3.947739662416e-08      -3.947739496279e-08       1.679678310570e-17       1.000506086701e-04       2.597026069002e-10       1.184321873804e-07      -1.450438998848e-07       1.776352641889e-07       7.911373027337e-02       1.253460803371e-03      -8.365250720910e-06       7.891648486594e-03       9.678215670986e-01 
       1.664159738536e+02       7.564294145109e-03       9.883903594799e+02       2.782930111112e-01       1.316478282928e+04       7.863516560730e+01       2.203994937935e+06       3.876026649534e+02       2.161556768541e-03       1.141577687803e-02       6.237432918379e-02       1.495297725566e-03       7.744700003332e-02       3.947739658896e-08      -3.947739489169e-08       1.709596734323e-17       1.000517079955e-04       2.643340582405e-10       1.184321872210e-07      -1.450438996895e-07       1.776352639498e-07       7.744700003332e-02       1.218912020641e-03      -8.104977678723e-06       7.945201548574e-03       9.680382422397e-01 
       1.652502814757e+02       7.646620839084e-03       9.926014311569e+02       2.753462353452e-01       1.316057175760e+04       7.916119985353e+01       2.187948759083e+06       3.886927065491e+02       2.101980239733e-03       1.117897433978e-02       6.108047072545e-02       1.454084536387e-03       7.581554931875e-02       3.947739655300e-08      -3.947739481905e-08       1.740045940677e-17       1.000528310269e-04       2.690477427911e-10       1.184321870581e-07      -1.450438994900e-07       1.776352637054e-07       7.581554931875e-02       1.185315447979e-03      -7.852811155604e-06       7.999130124494e-03       9.682535082712e-01 
